Personas,Tiempo TOTAL,,Buscador,Filtro,Cesta,,
1,1:10.89,0,1,0,1,,
2,1:01.02,0,1,0,0,,
3,0:41.55,1,1,0,0,,0:42:00
4,0:37.29,1,1,0,1,,
5,0:42.46,0,1,0,1,,
6,0:31.81,1,1,0,1,,
7,0:38.58,1,1,0,1,,
8,0:43.60,0,1,0,0,,
9,0:35.24,1,1,0,1,,
10,0:38.13,1,1,0,1,,
11,0:25.33,1,1,0,1,,
12,0:47.03,0,1,0,0,,
13,0:50.53,0,1,0,1,,
14,0:49.40,0,0,0,1,,
15,0:35.79,1,1,0,0,,
16,0:59.92,0,1,0,1,,
17,0:23.80,1,0,0,1,,
18,1:41:00,0,1,0,1,,
19,1:32:00,0,1,0,1,,
20,0:42:00,1,0,0,0,,
21,0:52:00,0,0,0,1,,
22,0:40:00,1,1,0,0,,
23,0:38:00,1,0,0,1,,
24,0:48:00,0,1,0,0,,
25,0:41:00,1,0,0,0,,
26,0:39:00,1,1,0,0,,
27,1:00:00,0,1,0,0,,
28,0:42:00,1,0,0,0,,
29,0:26:00,1,1,0,0,,
30,0:39:00,1,1,0,0,,